CID,anionE_H,dianionE_H,dE_eV,SM_H,conformer,adductE_H,adduct_complete,filename,dE_addCO2_H,lnKco2,logKco2,,,,,,,,
127642,-923.1529783,-923.2598009,2.906792498,-1111.772401,1,-1111.821472,TRUE,127642_1.log,-0.029776981,31.54480208,13.69726534,,,,,,,,
12771,-1300.5068,-1300.625828,3.238926683,-1489.138427,1,-1489.190808,TRUE,12771_1.log,-0.031337991,33.19848724,14.41532229,,,,,,,,
128149,-1183.254897,-1183.361243,2.893831708,-1371.873843,0,-1371.928977,TRUE,128149_0.log,-0.035840281,37.96807241,16.48635363,,,,,,,,
128278,-667.8442279,-667.9527175,2.952153901,-856.4653173,2,-856.5248206,TRUE,128278_2.log,-0.040209381,42.59656026,18.49611822,,,,,,,,
128452,-1146.321173,-1146.415323,2.561961473,-1334.927923,1,-1335.017647,TRUE,128452_1.log,-0.070430081,74.61142436,32.39749212,,,,,,,,
12867,-695.6350934,-695.7285074,2.54192572,-884.2411072,1,-884.3056542,TRUE,12867_1.log,-0.043823281,46.42501285,20.15849451,,,,,,,,
128994,-958.825389,-958.9243536,2.692965316,-1147.436953,1,-1147.491811,TRUE,128994_1.log,-0.035564081,37.67547477,16.35930298,,,,,,,,
129193,-1348.252979,-1348.359841,2.90787279,-1536.872441,0,-1536.933372,TRUE,129193_0.log,-0.041636981,44.10891503,19.15280722,,,,,,,,
129258,-1101.773869,-1101.874922,2.749801768,-1290.387521,0,-1290.50713,TRUE,129258_0.log,-0.100314981,106.2705525,46.14439968,,,,,,,,
129531,-649.3478562,-649.4512334,2.81303834,-837.9638332,1,-838.0360211,TRUE,129531_1.log,-0.052893981,56.03422865,24.33097206,,,,,,,,
129664,-921.9494456,-922.0505395,2.75090655,-1110.563139,0,-1110.618896,TRUE,129664_0.log,-0.036462881,38.62763537,16.77274658,,,,,,,,
129974,-1102.650211,-1102.74286,2.521117162,-1291.25546,0,-1291.365331,TRUE,129974_0.log,-0.090577181,95.95463179,41.6650594,,,,,,,,
130250,-667.8413947,-667.9498923,2.952371593,-856.4624921,2,-856.5213618,TRUE,130250_2.log,-0.039575781,41.92534424,18.20466532,,,,,,,,
130629,-801.9601418,-802.0582147,2.668700911,-990.5708145,0,-990.6298935,TRUE,130629_0.log,-0.039785081,42.14707011,18.3009423,,,,,,,,
130757,-1109.242316,-1109.340363,2.668004299,-1297.852962,1,-1297.913176,TRUE,130757_1.log,-0.040919481,43.34881798,18.82276074,,,,,,,,
131062,-2131.127458,-2131.245382,3.208885297,-2319.757982,0,-2319.811596,TRUE,131062_0.log,-0.034319781,36.35730228,15.78693108,,,,,,,,
131064,-1048.887018,-1048.986747,2.713773874,-1237.499347,0,-1237.562926,TRUE,131064_0.log,-0.044284681,46.91380558,20.37073625,,,,,,,,
131199,-1073.300345,-1073.388066,2.387019383,-1261.900666,0,-1261.998003,TRUE,131199_0.log,-0.078043081,82.67639838,35.89943482,,,,,,,,
131309,-849.3855925,-849.4801901,2.574133133,-1037.99279,0,-1038.061412,TRUE,131309_0.log,-0.049327881,52.25641388,22.69058353,,,,,,,,
131350,-1217.944321,-1218.037454,2.53428748,-1406.550054,0,-1406.661161,TRUE,131350_0.log,-0.091813481,97.26432933,42.23375134,,,,,,,,
131899,-1148.521659,-1148.614161,2.517117086,-1337.126761,1,-1337.206308,TRUE,131899_1.log,-0.060252681,63.82980521,27.715938,,,,,,,,
1320,-914.0257226,-914.1187324,2.530926872,-1102.631332,0,-1102.722097,TRUE,1320_0.log,-0.071470981,75.71412126,32.87630102,,,,,,,,
132243,-1147.307719,-1147.432835,3.404589686,-1335.945434,0,-1335.992433,TRUE,132243_0.log,-0.027704481,29.34926042,12.7439255,,,,,,,,
132244,-1148.510567,-1148.601899,2.485279748,-1337.114499,0,-1337.191526,TRUE,132244_0.log,-0.057732781,61.16030199,26.55679635,,,,,,,,
132248,-1147.315949,-1147.417399,2.760604693,-1335.929999,0,-1335.995923,TRUE,132248_0.log,-0.046629581,49.39791928,21.44937876,,,,,,,,
132521,-953.303764,-953.39892,2.589327978,-1141.91152,1,-1141.982565,TRUE,132521_1.log,-0.051750881,54.82326427,23.80515166,,,,,,,,
133408,-994.9883281,-995.0870506,2.686377437,-1183.59965,1,-1183.674004,TRUE,133408_1.log,-0.055059481,58.3282916,25.32709145,,,,,,,,
133505,-1146.314964,-1146.408182,2.536600449,-1334.920782,0,-1335.006935,TRUE,133505_0.log,-0.066858981,70.82831275,30.75480362,,,,,,,,
133506,-1071.119152,-1071.211915,2.524219262,-1259.724515,1,-1259.802302,TRUE,133506_1.log,-0.058492581,61.96521033,26.90630062,,,,,,,,
133561,-1030.677266,-1030.787312,2.994513888,-1219.299912,1,-1219.370599,TRUE,133561_1.log,-0.051392681,54.4437984,23.64038142,,,,,,,,
134165,-994.7316739,-994.8323143,2.738566181,-1183.344914,0,-1183.404053,TRUE,134165_0.log,-0.039844781,42.21031442,18.328404,,,,,,,,
134523,-652.9688755,-653.0693896,2.735129381,-841.5819894,0,-841.6427271,TRUE,134523_0.log,-0.041443781,43.904245,19.06393617,,,,,,,,
135429,-810.1154272,-810.2060933,2.467151514,-998.7186931,0,-998.8017003,TRUE,135429_0.log,-0.063713281,67.49585658,29.30779704,,,,,,,,
135447,-733.6978575,-733.7913193,2.543226425,-922.3039191,0,-922.3703139,TRUE,135447_0.log,-0.047100881,49.89719975,21.66617445,,,,,,,,
135596,-841.9693658,-842.0883676,3.238205581,-1030.600967,1,-1030.620746,TRUE,135596_1.log,-0.000484881,0.513667762,0.223042884,,,,,,,,
135829,-731.3204575,-731.4096059,2.425852772,-919.9222057,0,-919.9894339,TRUE,135829_0.log,-0.047934281,50.78007764,22.04953436,,,,,,,,
135858,-956.617852,-956.7434221,3.416938219,-1145.256022,0,-1145.20567,TRUE,135858_0.log,0.069645719,-73.7804958,-32.03668945,,,,,,,,
135872,-845.5779402,-845.6898765,3.045943434,-1034.202476,0,-1034.246199,TRUE,135872_0.log,-0.024429181,25.87951007,11.23730355,,,,,,,,
135906,-999.4633903,-999.585818,3.331429116,-1188.098418,1,-1188.144437,TRUE,135906_1.log,-0.026725381,28.31203251,12.29354429,,,,,,,,
1376316,-996.6941133,-996.7960471,2.773761405,-1185.308647,1,-1185.354775,TRUE,1376316_1.log,-0.026833781,28.42686808,12.34340776,,,,,,,,
1382504,-1125.271554,-1125.369224,2.657745601,-1313.881824,2,-1313.96274,TRUE,1382504_2.log,-0.061622481,65.28092847,28.34603929,,,,,,,,
1382505,-1089.377523,-1089.506687,3.514741433,-1278.019287,2,-1278.065576,TRUE,1382505_2.log,-0.026995381,28.59806206,12.41774297,,,,,,,,
1382506,-1128.650449,-1128.747827,2.649799873,-1317.260427,0,-1317.345747,TRUE,1382506_0.log,-0.066025981,69.94585861,30.37162771,,,,,,,,
1382513,-1164.337129,-1164.43562,2.680086161,-1352.94822,0,-1352.997902,TRUE,1382513_0.log,-0.030388881,32.1930298,13.97873634,,,,,,,,
1382514,-1128.665107,-1128.76188,2.633336976,-1317.27448,0,-1317.361325,TRUE,1382514_0.log,-0.067551181,71.56160777,31.07321223,,,,,,,,
138274,-1280.954648,-1281.066752,3.050514949,-1469.579352,0,-1469.632688,TRUE,138274_0.log,-0.034041581,36.0625859,15.65896044,,,,,,,,
1382857,-1681.807266,-1681.922283,3.129781757,-1870.434883,2,-1870.498189,TRUE,1382857_2.log,-0.044012381,46.62533948,20.24547958,,,,,,,,
1382,-842.2107142,-842.3034187,2.522619231,-1030.816019,1,-1030.890233,TRUE,1382_1.log,-0.054920581,58.18114529,25.26319813,,,,,,,,
138301,-1799.365583,-1799.508435,3.887211076,-1988.021035,1,-1988.046275,TRUE,138301_1.log,-0.005946081,6.299092185,2.735168122,,,,,,,,
138423,-1300.507771,-1300.623088,3.137945177,-1489.135688,0,-1489.184428,TRUE,138423_0.log,-0.029445581,31.19372729,13.54482296,,,,,,,,
138485,-845.5860583,-845.6882085,2.779649952,-1034.200808,0,-1034.247195,TRUE,138485_0.log,-0.027093181,28.70166832,12.46273049,,,,,,,,
138597,-728.915686,-729.0112938,2.601622089,-917.5238936,0,-917.5854818,TRUE,138597_0.log,-0.042294281,44.80523809,19.455162,,,,,,,,
1389012,-944.180543,-944.3053343,3.395745981,-1132.817934,0,-1132.853444,TRUE,1389012_0.log,-0.016216381,17.17912669,7.459455793,,,,,,,,
13891,-994.4846662,-994.5916925,2.91233546,-1183.104292,0,-1183.153981,TRUE,13891_0.log,-0.030394381,32.19885632,13.98126632,,,,,,,,
1403696,-839.013797,-839.1088557,2.586680309,-1027.621456,1,-1027.723676,TRUE,1403696_1.log,-0.082926081,87.84929582,38.14559089,,,,,,,,
140616,-880.2282523,-880.3335041,2.864048831,-1068.846104,1,-1068.906537,TRUE,140616_1.log,-0.041139581,43.58198503,18.92400566,,,,,,,,
141607,-799.7601696,-799.8531365,2.529759503,-988.3657363,0,-988.489267,TRUE,141607_0.log,-0.104236781,110.4251847,47.94840846,,,,,,,,
14160,-841.9824022,-842.0787936,2.622944942,-1030.591393,0,-1030.639972,TRUE,14160_0.log,-0.029284481,31.02306299,13.47071775,,,,,,,,
141736,-766.9835568,-767.0804403,2.636335672,-955.5930401,1,-955.6489234,TRUE,141736_1.log,-0.036589381,38.76164551,16.83093596,,,,,,,,
141870,-695.6368903,-695.7385346,2.765883705,-884.2511344,0,-884.3072614,TRUE,141870_0.log,-0.036833081,39.01981367,16.94303676,,,,,,,,
142669,-1379.087199,-1379.197205,2.993425432,-1567.709805,0,-1567.762271,TRUE,142669_0.log,-0.033171781,35.14114699,15.2588567,,,,,,,,
1427857,-1758.179522,-1758.287143,2.928526243,-1946.799743,0,-1946.905253,TRUE,1427857_0.log,-0.086216181,91.33472482,39.65902077,,,,,,,,
144823,-458.6845024,-458.7854769,2.747657509,-647.2980767,0,-647.3694166,TRUE,144823_0.log,-0.052045981,55.13588398,23.94089621,,,,,,,,
145127,-536.0039715,-536.1062514,2.783179271,-724.6188512,0,-724.6976395,TRUE,145127_0.log,-0.059494381,63.02648591,27.36712371,,,,,,,,
145699,-1066.352339,-1066.434132,2.225710204,-1254.946732,2,-1255.059582,TRUE,145699_2.log,-0.093555581,99.10985557,43.0351088,,,,,,,,
146027,-971.5466136,-971.6450325,2.678116055,-1160.157632,1,-1160.227697,TRUE,146027_1.log,-0.050770581,53.78476512,23.35421846,,,,,,,,
146101,-953.2984417,-953.3938,2.594832845,-1141.9064,1,-1141.996371,TRUE,146101_1.log,-0.070676981,74.8729825,32.51106491,,,,,,,,
146252,-880.5320246,-880.6341781,2.77973975,-1069.146778,0,-1069.200069,TRUE,146252_0.log,-0.033997281,36.01565587,15.63858266,,,,,,,,
146693,-1300.508098,-1300.632979,3.398195007,-1489.145579,0,-1489.187082,TRUE,146693_0.log,-0.022209281,23.52781746,10.21616043,,,,,,,,
146752,-1760.075566,-1760.207715,3.595967462,-1948.720315,0,-1948.756446,TRUE,146752_0.log,-0.016837181,17.83678279,7.745020751,,,,,,,,
146797,-1001.735456,-1001.836691,2.754754242,-1190.34929,0,-1190.412769,TRUE,146797_0.log,-0.044184281,46.80744496,20.32455274,,,,,,,,
146825,-953.3163174,-953.4154262,2.6968892,-1141.928026,0,-1141.992896,TRUE,146825_0.log,-0.045576481,48.28229808,20.96495792,,,,,,,,
147143,-992.5416983,-992.6335793,2.500210643,-1181.146179,0,-1181.226625,TRUE,147143_0.log,-0.061151781,64.78228362,28.12951959,,,,,,,,
1471804,-1278.437128,-1278.534262,2.643160291,-1467.046862,2,-1467.111329,TRUE,1471804_2.log,-0.045172981,47.85484281,20.77934989,,,,,,,,
1473358,-957.6526059,-957.7490522,2.624438848,-1146.261652,2,-1146.317535,TRUE,1473358_2.log,-0.036589381,38.76164551,16.83093596,,,,,,,,
1473360,-955.4558095,-955.5527714,2.638469046,-1144.065371,1,-1144.134239,TRUE,1473360_1.log,-0.049573881,52.51701858,22.80374233,,,,,,,,
1473361,-1417.221052,-1417.317967,2.637200994,-1605.830566,0,-1605.885793,TRUE,1473361_0.log,-0.035932681,38.06595807,16.52885718,,,,,,,,
