PUBCHEM_COMPOUND_CID,PUBCHEM_IUPAC_SYSTEMATIC_NAME,SMILES,SAscore,RAscore,Combined_Score
12683184,"2,5-bis(chloranyl)-3-methyl-6-(3-oxidanylprop-1-ynyl)cyclohexa-2,5-diene-1,4-dione",CC1=C(Cl)C(=O)C(C#CCO)=C(Cl)C1=O,3.345,0.975000024,0.720958351
12683188,"2,5-bis(chloranyl)-3,6-bis(3-methoxyprop-1-ynyl)cyclohexa-2,5-diene-1,4-dione",COCC#CC1=C(Cl)C(=O)C(C#CCOC)=C(Cl)C1=O,3.656,0.92900002,0.654841792
12710168,"pyrrolo[2,1-c][1,2,4]benzotriazine-6,9-dione",O=C1C=CC(=O)c2c1nnc1cccn21,2.783,0.954999983,0.765803876
12808108,"ethyl 3-[4-methoxy-3,6-bis(oxidanylidene)cyclohexa-1,4-dien-1-yl]prop-2-ynoate",CCOC(=O)C#CC1=CC(=O)C(OC)=CC1=O,3.162,0.763000011,0.579710453
12841633,"5-oxidanyl-2H-benzo[f]benzotriazole-4,9-dione",O=C1c2cccc(O)c2C(=O)c2n[nH]nc21,2.744,0.943000019,0.760267571
12841634,"6-oxidanyl-2H-benzo[f]benzotriazole-4,9-dione",O=C1c2ccc(O)cc2C(=O)c2n[nH]nc21,2.742,0.947000027,0.76370291
13375665,"6,7-dimethoxy-5,8-bis(oxidanylidene)naphthalene-2-carbonitrile",COC1=C(OC)C(=O)c2cc(C#N)ccc2C1=O,2.46,0.869000018,0.728028904
13412776,"5-chloranyl-2,3-dimethoxy-cyclohexa-2,5-diene-1,4-dione",COC1=C(OC)C(=O)C(Cl)=CC1=O,2.822,0.859000027,0.685100244
13412778,"2-chloranyl-7-methyl-5-oxidanyl-naphthalene-1,4-dione",Cc1cc(O)c2c(c1)C(=O)C(Cl)=CC2=O,2.524,0.975000024,0.80990002
13412784,"2-chloranyl-7-methyl-8-oxidanyl-naphthalene-1,4-dione",Cc1ccc2c(c1O)C(=O)C(Cl)=CC2=O,2.546,0.938000023,0.776872464
13464723,"N-[4-oxidanyl-5,8-bis(oxidanylidene)naphthalen-1-yl]ethanamide",CC(=O)Nc1ccc(O)c2c1C(=O)C=CC2=O,2.42,0.981999993,0.827062217
13667794,"9-chloranyl-5,10-bis(oxidanyl)anthracene-1,4-dione",O=C1C=CC(=O)c2c1c(Cl)c1cccc(O)c1c2O,2.729,0.647000015,0.522704123
13903860,"3-(hydroxymethyl)-5-methyl-cyclohexa-3,5-diene-1,2-dione",CC1=CC(=O)C(=O)C(CO)=C1,2.918,0.922999978,0.726298427
14090071,"2,3,6,7-tetrakis(chloranyl)-5,8-bis(oxidanyl)naphthalene-1,4-dione",O=C1C(Cl)=C(Cl)C(=O)c2c(O)c(Cl)c(Cl)c(O)c21,2.867,0.44600001,0.353479786
14283954,"2,3-bis(bromanyl)-5-oxidanyl-naphthalene-1,4-dione",O=C1C(Br)=C(Br)C(=O)c2c(O)cccc21,2.512,0.986000001,0.820352001
14289874,"2-(oxan-2-yloxymethyl)cyclohexa-2,5-diene-1,4-dione",O=C1C=CC(=O)C(COC2CCCCO2)=C1,3.221,0.873000026,0.657563019
14609896,"1-methoxy-4-oxidanyl-9,10-bis(oxidanylidene)anthracene-2-carbaldehyde",COc1c(C=O)cc(O)c2c1C(=O)c1ccccc1C2=O,2.347,0.926999986,0.788258988
14937768,"3-bromanyl-5-methoxy-8-oxidanyl-benzo[f][1,2]benzoxazole-4,9-dione",COc1ccc(O)c2c1C(=O)c1c(Br)noc1C2=O,2.868,0.69599998,0.551541317
14937773,"3-bromanyl-8-methoxy-5-oxidanyl-benzo[f][1,2]benzoxazole-4,9-dione",COc1ccc(O)c2c1C(=O)c1onc(Br)c1C2=O,2.868,0.68900001,0.545994231
15061176,"5-bromanyl-2,3-dimethoxy-cyclohexa-2,5-diene-1,4-dione",COC1=C(OC)C(=O)C(Br)=CC1=O,2.777,0.897000015,0.719892345
