CID,HOMO,HOMO-1,delta_orbs
10378330,-0.0995,-0.20001,0.1005099999999999
10378429,-0.08234,-0.17613,0.09379
10378569,-0.11017,-0.20347,0.0933
10378826,-0.11277,-0.18802,0.07525
10378907,-0.11116,-0.20871,0.09755
10379022,-0.10383,-0.20677,0.10294
10379122,-0.0883,-0.18444,0.0961399999999999
10379343,-0.08569,-0.18075,0.0950599999999999
10379436,-0.14394,-0.22721,0.0832699999999999
10379595,-0.06259,-0.18012,0.11753
10379812,-0.0889,-0.17089,0.0819899999999999
10379965,-0.09286,-0.19994,0.10708
10380030,-0.10533,-0.20642,0.10109
10380040,-0.05991,-0.16481,0.1049
10380430,-0.10072,-0.19259,0.09187
10380616,-0.10169,-0.20605,0.10436
10380695,-0.08338,-0.17517,0.09179
10381442,-0.09954,-0.18454,0.085
10381539,-0.11246,-0.16704,0.0545799999999999
10381613,-0.11109,-0.19998,0.08889
10381845,-0.11132,-0.18303,0.07171
10381980,-0.09819,-0.17958,0.0813899999999999
10381986,-0.121,-0.1877,0.0667
10382108,-0.09064,-0.16657,0.07593
10382195,-0.12161,-0.2106,0.08899
10382220,-0.10008,-0.19678,0.0967
10382360,-0.11419,-0.20351,0.08932
10382501,-0.11982,-0.17981,0.05999
10382766,-0.09121,-0.19243,0.1012199999999999
10382809,-0.13888,-0.21347,0.0745899999999999
10382993,-0.11898,-0.17188,0.0529
10397889,-0.10026,-0.1825,0.08224
10398392,-0.10479,-0.17986,0.07507
10398581,-0.07817,-0.18384,0.10567
10398703,-0.09795,-0.19287,0.09492
10398791,-0.0871,-0.17939,0.09229
10398858,-0.09003,-0.20115,0.11112
10399161,-0.07514,-0.17775,0.1026099999999999
10399257,-0.09452,-0.19685,0.1023299999999999
10399509,-0.09689,-0.19542,0.09853
10399516,-0.08727,-0.18186,0.09459
10399556,-0.09217,-0.1926,0.1004299999999999
10399569,-0.08923,-0.18287,0.09364
10400054,-0.09155,-0.18986,0.09831
10400816,-0.09046,-0.1982,0.1077399999999999
10400914,-0.09094,-0.20049,0.10955
10400921,-0.09043,-0.18526,0.09483
10401163,-0.07333,-0.17443,0.1011
10401255,-0.11757,-0.19708,0.07951
10401546,-0.09657,-0.19243,0.0958599999999999
10401719,-0.08163,-0.19676,0.11513
10401829,-0.10548,-0.19645,0.09097
10402067,-0.11552,-0.19043,0.0749099999999999
10402223,-0.09924,-0.19861,0.09937
10402250,-0.09248,-0.17011,0.07763
